scope,name,path,lines,decision
hermes,codex,/Users/alexjordan/.hermes/skills/autonomous-ai-agents/codex/SKILL.md,155,see_report
hermes,computer-use,/Users/alexjordan/.hermes/skills/autonomous-ai-agents/computer-use/SKILL.md,339,see_report
hermes,fireworks-hermes-setup,/Users/alexjordan/.hermes/skills/autonomous-ai-agents/fireworks-hermes-setup/SKILL.md,106,see_report
hermes,hermes-agent,/Users/alexjordan/.hermes/skills/autonomous-ai-agents/hermes-agent/SKILL.md,735,see_report
hermes,hermes-config-audit,/Users/alexjordan/.hermes/skills/autonomous-ai-agents/hermes-config-audit/SKILL.md,139,see_report
hermes,hermes-cron-operations,/Users/alexjordan/.hermes/skills/autonomous-ai-agents/hermes-cron-operations/SKILL.md,118,see_report
hermes,hermes-fireworks-setup,/Users/alexjordan/.hermes/skills/autonomous-ai-agents/hermes-fireworks-setup/SKILL.md,101,see_report
hermes,merge-reconciler,/Users/alexjordan/.hermes/skills/autonomous-ai-agents/merge-reconciler/SKILL.md,158,see_report
hermes,opencode,/Users/alexjordan/.hermes/skills/autonomous-ai-agents/opencode/SKILL.md,219,see_report
hermes,cel-convex-restore-collision-recovery,/Users/alexjordan/.hermes/skills/cel/cel-convex-restore-collision-recovery/SKILL.md,132,see_report
hermes,cel-deployment-operations,/Users/alexjordan/.hermes/skills/cel/cel-deployment-operations/SKILL.md,177,see_report
hermes,cel-free-agent-count-debugging,/Users/alexjordan/.hermes/skills/cel/cel-free-agent-count-debugging/SKILL.md,396,see_report
hermes,cel-hermes-backup-cron,/Users/alexjordan/.hermes/skills/cel/cel-hermes-backup-cron/SKILL.md,270,see_report
hermes,cel-player-stats-add-button,/Users/alexjordan/.hermes/skills/cel/cel-player-stats-add-button/SKILL.md,27,see_report
hermes,cel-premium-monetization,/Users/alexjordan/.hermes/skills/cel/cel-premium-monetization/SKILL.md,79,see_report
hermes,discord-server-administration,/Users/alexjordan/.hermes/skills/communication/discord-server-administration/SKILL.md,130,see_report
hermes,job-application-positioning,/Users/alexjordan/.hermes/skills/communication/job-application-positioning/SKILL.md,178,see_report
hermes,profile-aware-messaging,/Users/alexjordan/.hermes/skills/communication/profile-aware-messaging/SKILL.md,63,see_report
hermes,architecture-diagram,/Users/alexjordan/.hermes/skills/creative/architecture-diagram/SKILL.md,148,see_report
hermes,ascii-art,/Users/alexjordan/.hermes/skills/creative/ascii-art/SKILL.md,322,see_report
hermes,ascii-video,/Users/alexjordan/.hermes/skills/creative/ascii-video/SKILL.md,248,see_report
hermes,baoyu-infographic,/Users/alexjordan/.hermes/skills/creative/baoyu-infographic/SKILL.md,237,see_report
hermes,claude-design,/Users/alexjordan/.hermes/skills/creative/claude-design/SKILL.md,650,see_report
hermes,comfyui,/Users/alexjordan/.hermes/skills/creative/comfyui/SKILL.md,612,see_report
hermes,creative-ideation,/Users/alexjordan/.hermes/skills/creative/creative-ideation/SKILL.md,147,see_report
hermes,design-md,/Users/alexjordan/.hermes/skills/creative/design-md/SKILL.md,220,see_report
hermes,excalidraw,/Users/alexjordan/.hermes/skills/creative/excalidraw/SKILL.md,199,see_report
hermes,humanizer,/Users/alexjordan/.hermes/skills/creative/humanizer/SKILL.md,647,see_report
hermes,manim-video,/Users/alexjordan/.hermes/skills/creative/manim-video/SKILL.md,275,see_report
hermes,p5js,/Users/alexjordan/.hermes/skills/creative/p5js/SKILL.md,558,see_report
hermes,popular-web-designs,/Users/alexjordan/.hermes/skills/creative/popular-web-designs/SKILL.md,214,see_report
hermes,pretext,/Users/alexjordan/.hermes/skills/creative/pretext/SKILL.md,220,see_report
hermes,sketch,/Users/alexjordan/.hermes/skills/creative/sketch/SKILL.md,220,see_report
hermes,songwriting-and-ai-music,/Users/alexjordan/.hermes/skills/creative/songwriting-and-ai-music/SKILL.md,308,see_report
hermes,touchdesigner-mcp,/Users/alexjordan/.hermes/skills/creative/touchdesigner-mcp/SKILL.md,356,see_report
hermes,jupyter-live-kernel,/Users/alexjordan/.hermes/skills/data-science/jupyter-live-kernel/SKILL.md,167,see_report
hermes,container-runtime-troubleshooting,/Users/alexjordan/.hermes/skills/devops/container-runtime-troubleshooting/SKILL.md,128,see_report
hermes,containerized-service-installation,/Users/alexjordan/.hermes/skills/devops/containerized-service-installation/SKILL.md,70,see_report
hermes,convex-data-migrations,/Users/alexjordan/.hermes/skills/devops/convex-data-migrations/SKILL.md,94,see_report
hermes,convex-selfhosted-postgres-export-and-user-list,/Users/alexjordan/.hermes/skills/devops/convex-selfhosted-postgres-export-and-user-list/SKILL.md,237,see_report
hermes,convex-selfhosted-postgres-migrations,/Users/alexjordan/.hermes/skills/devops/convex-selfhosted-postgres-migrations/SKILL.md,130,see_report
hermes,remote-development-access,/Users/alexjordan/.hermes/skills/devops/remote-development-access/SKILL.md,110,see_report
hermes,remote-host-ssh-access,/Users/alexjordan/.hermes/skills/devops/remote-host-ssh-access/SKILL.md,153,see_report
hermes,sdlc-review,/Users/alexjordan/.hermes/skills/devops/sdlc-review/SKILL.md,181,see_report
hermes,secret-safe-commands,/Users/alexjordan/.hermes/skills/devops/secret-safe-commands/SKILL.md,52,see_report
hermes,telegram-large-file-transfer,/Users/alexjordan/.hermes/skills/devops/telegram-large-file-transfer/SKILL.md,44,see_report
hermes,webhook-subscriptions,/Users/alexjordan/.hermes/skills/devops/webhook-subscriptions/SKILL.md,180,see_report
hermes,dogfood,/Users/alexjordan/.hermes/skills/dogfood/SKILL.md,162,see_report
hermes,ego-browser,/Users/alexjordan/.hermes/skills/ego-browser/SKILL.md,466,see_report
hermes,email-alert-automation,/Users/alexjordan/.hermes/skills/email/email-alert-automation/SKILL.md,83,see_report
hermes,email-inbox-triage,/Users/alexjordan/.hermes/skills/email/email-inbox-triage/SKILL.md,87,see_report
hermes,himalaya,/Users/alexjordan/.hermes/skills/email/himalaya/SKILL.md,304,see_report
hermes,minecraft-modpack-server,/Users/alexjordan/.hermes/skills/gaming/minecraft-modpack-server/SKILL.md,186,see_report
